new_id,age_guess,gender_guess,zip,income,race
4783,5,male,60643,58104.9847,white
4789,3,female,60641,49558.7368,white
4805,8,male,60622,62490.8059,white
4839,5,female,60609,35478.1413,white
4859,40,male,60618,58005.5133,white
4866,5,male,60638,60046.2161,white
4867,2,male,60638,60046.2161,white
4874,11,female,60634,57736.1576,white
4876,6,female,60634,57736.1576,white
4887,5,male,60659,49521.1895,white
4898,9,female,60622,62490.8059,white
4909,7,female,60655,83897.8066,white
4917,62,male,60647,50830.9318,white
4919,7,female,60618,58005.5133,white
4923,9,male,60646,78555.3247,white
4927,41,female,60628,39591.7109,
4928,23,female,60628,39591.7109,
4931,10,female,60631,74087.4356,white
4932,8,male,60631,74087.4356,white
4949,21,female,60643,58104.9847,white
4953,8,female,60625,52037.0342,white
4956,2,male,60625,52037.0342,white
4971,6,male,60646,78555.3247,white
4973,35,female,60655,83897.8066,white
4983,23,male,60617,39216.4893,white
4990,68,female,60613,68426.0555,white
4993,10,male,60614,89740.5419,white
5009,5,male,60607,75222.2245,white
5010,4,male,60607,75222.2245,white
5022,9,female,60653,28121.8611,white
5035,5,male,60626,40808.2465,white
5047,5,female,60657,78622.5332,white
5059,10,male,60649,28765.3108,
5074,8,male,60655,83897.8066,white
5075,7,male,60655,83897.8066,white
5085,2,male,60625,52037.0342,white
5094,4,female,60634,57736.1576,white
5105,10,male,60630,57285.3423,white
5133,7,male,60634,57736.1576,white
5134,5,female,60634,57736.1576,white
5136,6,male,60640,43975.102,white
5139,9,male,60630,57285.3423,white
5140,6,female,60630,57285.3423,white
5152,11,female,60646,78555.3247,white
5153,9,male,60646,78555.3247,white
5157,11,male,60626,40808.2465,white
5160,10,male,60626,40808.2465,white
5169,9,female,60634,57736.1576,white
5170,7,female,60634,57736.1576,white
5171,4,female,60634,57736.1576,white
5175,3,female,60647,50830.9318,white
5177,7,male,60615,37863.7745,white
5186,6,female,60645,49517.3061,white
5203,5,male,60641,49558.7368,white
5212,2,male,60659,49521.1895,white
5218,4,female,60609,35478.1413,white
5231,10,male,60625,52037.0342,white
5242,9,female,60659,49521.1895,white
5268,39,female,60618,58005.5133,white
5274,4,female,60620,35720.8559,
5279,7,male,60613,68426.0555,white
5296,37,male,60625,52037.0342,white
5306,3,female,60630,57285.3423,white
5336,4,male,60660,42405.2031,white
5346,5,male,60646,78555.3247,white
5361,3,female,60659,49521.1895,white
5367,60,female,60605,74840.7761,white
5368,3,male,60659,49521.1895,white
5375,11,female,60605,74840.7761,white
5377,9,female,60605,74840.7761,white
5394,4,female,60618,58005.5133,white
5420,9,female,60647,50830.9318,white
5422,7,male,60647,50830.9318,white
5427,14,female,60618,58005.5133,white
5431,12,male,60656,59178.5106,white
5432,9,male,60656,59178.5106,white
5433,3,female,60656,59178.5106,white
5438,2,female,60645,49517.3061,white
5441,8,female,60655,83897.8066,white
5463,11,female,60630,57285.3423,white
5466,5,male,60630,57285.3423,white
5478,6,male,60636,28860.7037,
5481,4,male,60657,78622.5332,white
5483,75,male,60625,52037.0342,white
5484,10,female,60631,74087.4356,white
5488,4,female,60618,58005.5133,white
5489,6,male,60631,74087.4356,white
5490,2,male,60618,58005.5133,white
5526,12,female,60618,58005.5133,white
5530,11,female,60618,58005.5133,white
5533,5,male,60618,58005.5133,white
5536,48,female,60640,43975.102,white
5546,59,female,60618,58005.5133,white
5582,9,male,60655,83897.8066,white
5586,8,male,60655,83897.8066,white
5590,5,male,60655,83897.8066,white
5597,5,female,60646,78555.3247,white
5598,8,male,60646,78555.3247,white
5607,4,male,60622,62490.8059,white
5613,35,male,60629,42864.0098,white
5631,42,female,60641,49558.7368,white
5633,41,male,60622,62490.8059,white
5641,42,female,60643,58104.9847,white
5648,42,female,60652,61356.9613,white
5654,45,female,60612,36926.7266,white
5655,7,male,60631,74087.4356,white
5656,15,female,60641,49558.7368,white
5660,4,female,60631,74087.4356,white
5669,4,female,60641,49558.7368,white
5671,8,male,60660,42405.2031,white
5672,7,female,60660,42405.2031,white
5677,33,female,60630,57285.3423,white
5692,3,male,60638,60046.2161,white
5699,8,male,60647,50830.9318,white
5700,37,female,60617,39216.4893,white
5702,8,male,60617,39216.4893,white
5707,61,male,60625,52037.0342,white
5712,5,female,60647,50830.9318,white
5714,47,female,60626,40808.2465,white
5717,11,male,60660,42405.2031,white
5723,10,female,60630,57285.3423,white
5733,53,female,60618,58005.5133,white
5735,9,female,60618,58005.5133,white
5742,8,male,60643,58104.9847,white
5744,14,male,60643,58104.9847,white
5746,46,female,60660,42405.2031,white
5747,10,female,60660,42405.2031,white
5748,65,female,60610,61110.0357,white
5752,5,male,60625,52037.0342,white
5754,2,female,60625,52037.0342,white
5759,5,female,60622,62490.8059,white
5761,3,male,60622,62490.8059,white
5765,3,male,60630,57285.3423,white
5766,7,female,60630,57285.3423,white
5774,9,female,60625,52037.0342,white
5782,7,male,60641,49558.7368,white
5786,4,female,60641,49558.7368,white
5787,38,male,60625,52037.0342,white
5803,11,male,60616,47561.8415,white
5804,7,female,60616,47561.8415,white
5805,7,male,60616,47561.8415,white
5808,36,female,60640,43975.102,white
5809,8,male,60620,35720.8559,
5811,12,female,60618,58005.5133,white
5812,5,male,60618,58005.5133,white
5814,3,female,60606,83429.246,white
5817,8,male,60629,42864.0098,white
5818,8,male,60653,28121.8611,white
5839,15,female,60638,60046.2161,white
5850,6,male,60630,57285.3423,white
5858,3,female,60625,52037.0342,white
5871,12,male,60625,52037.0342,white
5874,10,male,60625,52037.0342,white
5876,7,female,60625,52037.0342,white
5888,12,male,60637,31645.489,white
5902,6,male,60646,78555.3247,white
5905,4,male,60646,78555.3247,white
5908,8,male,60659,49521.1895,white
5911,6,male,60659,49521.1895,white
5920,7,female,60633,46089.2828,white
5921,4,female,60633,46089.2828,white
5931,3,male,60640,43975.102,white
5952,8,male,60646,78555.3247,white
5959,5,female,60631,74087.4356,white
5962,8,male,60660,42405.2031,white
5963,6,male,60659,49521.1895,white
5964,10,male,60651,32715.9962,white
5970,3,female,60660,42405.2031,white
5973,41,female,60657,78622.5332,white
5974,7,male,60637,31645.489,white
5980,8,male,60657,78622.5332,white
5986,4,male,60657,78622.5332,white
6001,7,male,60614,89740.5419,white
6009,11,female,60630,57285.3423,white
6011,49,male,60647,50830.9318,white
6013,7,male,60630,57285.3423,white
6024,7,male,60646,78555.3247,white
6026,8,female,60645,49517.3061,white
6028,5,female,60645,49517.3061,white
6034,4,male,60638,60046.2161,white
6042,34,male,60613,68426.0555,white
6043,67,female,60631,74087.4356,white
6058,8,female,60641,49558.7368,white
6061,14,male,60641,49558.7368,white
6071,9,female,60660,42405.2031,white
6076,3,male,60634,57736.1576,white
6080,8,female,60633,46089.2828,white
6082,6,female,60634,57736.1576,white
6084,6,female,60633,46089.2828,white
6096,64,female,60613,68426.0555,white
6097,3,male,60641,49558.7368,white
6109,6,male,60625,52037.0342,white
6114,5,male,60611,85578.2508,white
6117,3,male,60611,85578.2508,white
6131,21,female,60655,83897.8066,white
6143,5,male,60640,43975.102,white
6145,8,female,60640,43975.102,white
6153,76,female,60655,83897.8066,white
6164,9,female,60619,37122.9883,
6165,8,male,60619,37122.9883,
6167,28,female,60643,58104.9847,white
6169,72,female,60643,58104.9847,white
6184,9,female,60624,23004.0854,
6189,6,female,60618,58005.5133,white
6191,11,female,60638,60046.2161,white
6192,66,female,60637,31645.489,white
6195,2,female,60618,58005.5133,white
6209,6,male,60630,57285.3423,white
6212,2,male,60608,35282.9596,white
6215,2,female,60608,35282.9596,white
6226,11,male,60623,32236.4789,
6230,7,male,60625,52037.0342,white
6249,5,female,60640,43975.102,white
6271,5,male,60630,57285.3423,white
6282,3,male,60614,89740.5419,white
6289,3,female,60630,57285.3423,white
6297,54,male,60653,28121.8611,white
6301,31,female,60628,39591.7109,
6304,14,female,60617,39216.4893,white
6307,9,male,60617,39216.4893,white
6308,3,female,60646,78555.3247,white
6309,3,female,60646,78555.3247,white
6313,37,male,60617,39216.4893,white
6317,37,male,60617,39216.4893,white
6322,14,male,60617,39216.4893,white
6329,47,male,60617,39216.4893,white
6332,24,female,60633,46089.2828,white
6337,9,female,60619,37122.9883,
6345,7,female,60619,37122.9883,
6350,12,male,60619,37122.9883,
6352,7,female,60639,41642.9274,white
6354,3,male,60647,50830.9318,white
6357,6,female,60639,41642.9274,white
6359,6,male,60639,41642.9274,white
6366,48,male,60617,39216.4893,white
6368,5,male,60630,57285.3423,white
6371,68,female,60625,52037.0342,white
6372,27,male,60633,46089.2828,white
6379,12,male,60631,74087.4356,white
